225,414,1068
160,243,92067
199,212,82082
208,262,72379
207,262,62659
196,218,52963
205,212,43204
194,234,33540
200,220,23957
216,221,14180
193,276,4541
177,218,94707
200,257,85023
192,236,75334
200,230,65729
196,196,55988
200,263,46360
183,218,36633
199,213,26954
185,266,17359
200,257,7660
175,7,97656
188,172,88175
157,184,78494
199,178,68792
192,263,59192
198,222,49463
153,178,39753
199,214,30120
192,182,20399
209,184,10728
185,221,100984
197,182,91271
155,173,81569
200,228,71949
156,250,62310
190,196,52575
192,244,42957
199,216,33258
189,217,23571
198,245,13919
194,221,4229
187,194,94450
148,248,84797
172,248,75117
188,184,65387
197,244,55764
157,197,46037
201,217,36369
202,247,26710
