483712118,18,483795
332518448,12,407011
332635785,15,430244
336387384,11,357341
332590768,11,380526
336991194,11,408125
336776631,12,435495
332500159,10,358684
336355566,15,385658
332549452,11,408802
332450761,15,431866
332627724,11,355180
336453457,12,382227
332741230,11,405575
332581189,14,428752
336476349,11,355932
332505091,14,379033
336829742,10,406453
336738319,12,433812
336679939,11,361183
332752550,12,384546
336519935,15,411661
332425891,14,334779
332511526,11,357898
336579457,12,385072
336272456,11,411951
336521527,15,339170
336787873,11,366547
332401198,13,389560
332561850,11,412712
332345250,11,335764
336749067,11,363105
336486301,15,390188
336650859,11,417447
336588040,14,344729
336505174,10,371847
336514879,11,398955
332519365,11,422066
332536138,14,345315
336623205,11,372530
336624364,14,399769
336872489,11,427230
336538757,12,354461
336575420,12,381648
336560908,14,408804
336560143,12,435971
336927805,15,363595
332469083,10,386653
332628649,11,409893
336523736,11,337107
