748921,-727754011229250,1216
732322,-727764092018974,92041
753784,-727774072960110,83045
731522,-727784053958035,74170
754803,-727794034899142,65191
736490,-727804015892190,56257
750448,-727813996839440,47303
746256,-727823977815217,38388
730792,-727833958771335,29396
755040,-727843939713423,20431
729880,-727853920697376,11534
754246,-727863901636509,2543
736780,-727873982420617,93551
770902,-727883963368613,84596
732752,-727893944364603,75619
774646,-727903925308832,66660
736391,-727913906307718,57766
773027,-727923887254888,48796
736145,-727933868239842,39847
736890,-727943849206849,30927
735328,-727953830151924,21933
738080,-727963811117270,12787
738263,-727973792064113,4001
749353,-727983872831308,94990
731850,-727993853793392,86036
736817,-728003834734314,77135
747961,-728013815710387,68194
729031,-728023796670424,59163
735218,-728033777622538,50261
754209,-728043758570561,41288
754653,-728053739550502,32363
736915,-728063720515531,23430
733737,-728073701480628,14446
738666,-728083682422692,5474
770474,-728093763172820,96472
735030,-728103744172967,87528
733738,-728113725117083,78536
736059,-728123706075940,69633
759757,-728133687023993,60684
736493,-728143668013015,51743
739916,-728153648958095,42808
737770,-728163629931181,33841
754215,-728173610877197,24878
749863,-728183591840207,15968
735386,-728193572814201,7024
731600,-728203653560487,97894
753323,-728213634514590,89019
744824,-728223615484641,80037
736603,-728233596483496,71129
732318,-728243577462744,62218
