106,476952,477015
164,472094,562747
141,474348,555302
159,472788,544071
152,475172,536757
166,472397,524306
156,474432,516648
163,472090,504638
136,474951,497799
139,471781,484930
150,475776,479249
164,473839,567523
138,476748,560757
159,473705,548013
139,477287,541921
163,473418,528354
151,475750,521014
158,472239,507807
162,474474,500346
172,472746,488941
164,476809,483309
162,474699,571421
152,476052,563078
162,473810,551157
135,476303,543964
168,472859,530821
142,475805,524089
166,473171,511758
139,475387,504297
162,471459,490672
156,473549,483086
162,470703,570450
137,473319,563408
161,473462,553854
152,475625,546319
165,474625,535643
136,477387,528708
160,475068,516709
136,477304,509253
166,472513,494781
139,475264,487835
160,470435,473330
152,472818,565915
161,471899,555298
139,476522,550244
163,474100,538120
152,476616,530960
141,473595,518243
151,474860,509828
137,471763,497031
