117,-730262850640285,553
285,-730272931666474,91490
172,-730282911887650,81787
171,-730292892130295,72130
175,-730302872348246,62443
185,-730312852595688,52794
177,-730322832824526,43111
185,-730332813061203,33455
177,-730342793284988,23752
170,-730352773509508,14059
168,-730362853547610,104307
56,-730372833766535,94609
174,-730382814008334,84948
182,-730392794230326,75250
172,-730402774467255,65576
181,-730412754688660,55885
167,-730422734924417,46223
186,-730432914754508,236322
172,-730443493791160,826048
173,-730452675604772,17167
169,-730462655828504,7488
178,-730472735864361,97667
172,-730482716084256,88003
168,-730492696323089,78305
173,-730502676552826,68639
183,-730512756578753,158851
179,-730522637010284,49262
170,-730532617231021,39593
170,-730542597482931,29999
168,-730552577713764,20235
179,-730562557957389,10569
182,-730572538174352,885
167,-730582618214140,91117
175,-730592598430873,81436
430,-730602578651738,71754
52,-730612558887350,62079
404,-730622539106250,52386
181,-730632619145185,142575
184,-730642599366860,132908
175,-730652479798461,23328
169,-730662559814377,113551
169,-730672440247461,3953
175,-730682520271063,94185
175,-730692500490981,84495
172,-730702480723869,74793
173,-730712460946410,65093
52,-730722441180025,55464
286,-730732421398063,45748
172,-730742501435067,135990
170,-730752381848740,26389
