103,229730,229786
180,228204,318826
156,231159,312080
166,230053,301302
148,229933,291482
172,229345,281223
148,230491,272674
144,230089,262801
161,229214,252251
147,230911,244248
143,231591,235252
176,230823,324686
162,231395,315557
181,229727,304207
175,231565,296347
169,230855,285955
160,231851,277250
169,231317,267041
170,231388,257411
175,230946,247268
159,231551,238193
180,230945,327793
147,231637,318802
156,230608,308071
168,230818,298580
144,230012,288096
172,230674,279056
46,229849,268552
160,229340,258342
148,230109,249436
165,230745,240370
173,228595,328421
158,230726,320877
172,230637,311088
174,230601,301376
166,230023,291099
159,230816,282191
168,230008,271703
159,230732,262726
147,230326,252642
159,230967,243581
166,230613,233549
156,231148,324295
181,230283,313728
186,230443,304206
166,230312,294379
146,230937,285436
171,230375,275175
164,230986,266094
169,230360,255785
